philanthropy [fɪlǽnθrəpi],慈善（事業） [= benevolence]
camaraderie [kɑ̀:mərɑ́:dəri],友愛 [= friendship]（⇔hostility 敵意）
phase [feɪz],"段階，局面 [= stage]，面 [= aspect, side, part]"
facet [fǽsɪt],"（物事の）一面 [= face, aspect]"
facade [fəsɑ́:d],（いつわりの）外見 [= pretense]，（建物の）正面
incentive [ɪnséntɪv],"刺激 [= stimulus, spur, encouragement]，動機 [= motive]，報奨金"
morale [mərǽl],勤労意欲，士気
gratuity [grətjúːəti],チップ，心付け [= tip]
proponent [prəpóʊnənt],支持者 [= adherent]（⇔opponent），提唱者
advocate [ǽdvəkət],支持者 [= proponent]，擁護者
recipient [rɪsɪ́piənt],受賞者，受取人 [= receiver]
pundit [pʌ́ndɪt],専門家 [= expert]
descendant [dɪséndənt],子孫 [= offspring]（⇔ancestor）
prosecutor [prɑ́(ː)sɪkjùːtər],検察官
consort [kɑ́(ː)nsɔːrt],（特に国王・女王の）配偶者
culprit [kʌ́lprɪt],容疑者，罪人 [= criminal]
fugitive [fjúːdʒətɪv],"逃亡者，脱走者 [= runaway, deserter]"
adherent [ədhɪ́ərənt],信奉者 [= follower]
mentor [méntɔːr],"良き助言者 [= counselor, wise adviser]"
novice [nɑ́(ː)vɪs],初心者 [= beginner]，見習い生
recluse [rékluːs],隠遁者 [= hermit]
surrogate [sə́ːrəgət],代理人 [= replacement]
throng [θrɔ(ː)ŋ],群集 [= crowd]
peer [pɪər],仲間，同輩 [= equal]，貴族 [= nobleman]
prodigy [prɑ́(ː)dədʒi],神童 [= child genius]
counterpart [káʊntərpɑ̀ːrt],"（〜に）対応する物[人] [= equivalent]，写し [= copy, duplicate]，対の一方"
aptitude [ǽptɪtjùːd],適性 [= fitness]，素質 [= talent]
caliber [kǽləbər],能力（の程度） [= faculty]，銃の口径
demeanor [dɪmíːnər],"振る舞い，品行 [= deportment, conduct]"
posture [pɑ́(ː)stʃər],姿勢 [= pose]，態度 [= bearing]，状態
prudence [prúːdəns],慎重 [= judiciousness]
zeal [ziːl],"熱心さ，熱意 [= fervor, ardor, zest]"
prestige [prestíːʒ],"名声 [= reputation, distinction, renown]"
eminence [émɪnəns],高名 [= renown]
conviviality [kənvìviǽləti],陽気な行動
elocution [èləkjúːʃən],雄弁術
agility [ədʒɪ́ləti],敏捷性，機敏さ [= nimbleness]
allure [əlʊ́ər],魅力 [= attractiveness]
candor [kǽndər],"率直 [= frankness, candidness, openness]"
decorum [dɪkɔ́ːrəm],礼儀正しさ [= decency]
fidelity [fɪdéləti],忠誠心 [= loyalty]
dexterity [dekstérəti],"器用さ [= skill, adroitness]，利口さ [= cleverness]"
ebullience [ɪbʌ́liəns],あふれる元気 [= cheerfulness]
exhilaration [ɪgzìləréɪʃən],大喜び [= exultation]
duplicity [djuplɪ́səti],"二枚舌 [= deceit, double-dealing]"
indiscretion [ìndɪskréʃən],軽率な行為 [= imprudence]（⇔discretion 慎重）
indolence [ɪ́ndələns],怠惰 [= idleness]
audacity [ɔːdǽsəti],"厚かましさ [= impudence, insolence]，大胆さ [= boldness]"
grudge [grʌdʒ],恨み
tenure [ténjər],（大学教授の）終身在職権，保有（期間）
duration [djʊəréɪʃən],継続[持続]期間 [= period]
affinity [əfɪ́nəti],"相性 [= chemistry, compatibility]，類似性"
proximity [prɑ(ː)ksɪ́məti],"近接 [= nearness, neighborhood]〈to, of〉"
hoax [hoʊks],作り話，悪ふざけ [= trick]
allegory [ǽləgɔ̀ːri],寓話，たとえ話 [= story with a symbolic meaning]
apex [éɪpeks],絶頂 [= peak]
zenith [zíːnəθ],"絶頂 [= culmination, peak, summit]，天頂（⇔nadir どん底）"
ascension [əsénʃən],上昇，即位 [= enthronement]
conglomerate [kəngloʊ́mərət],巨大複合企業
offshoot [ɔ́(ː)ʃùːt],派生物，子会社 [= subsidiary]
consignment [kənsáɪnmənt],託送，委託商品
conveyance [kənvéɪəns],輸送（機関），（権利の）譲渡 [= transfer]
durability [djʊ̀ərəbɪ́ləti],耐久性 [= ability to last]
footage [fúːtɪdʒ],映画・テレビの特定の場面
gadget [gǽdʒɪt],機器 [= appliance]
glitch [glɪtʃ],（機器などの）故障 [= breakdown]，小さな技術上の問題
echelon [éʃəlɑ̀(ː)n],地位，（組織などの）階層 [= rank]
speculation [spèkjəléɪʃən],投機，憶測 [= thought]，推測 [= guess]
hype [haɪp],誇大宣伝
benchmark [béntʃmɑ̀ːrk],基準 [= standard]
integration [ìntəgréɪʃən],統合，差別撤廃による人種統合（⇔segregation）
contraband [kɑ́(ː)ntrəbænd],密輸品 [= smuggled goods]
liability [làɪəbɪ́ləti],（〜に対する）責任 [= responsibility]〈for〉，負債 [= debt]
libel [láɪbəl],名誉毀損，中傷
quota [kwóʊtə],割り当て，ノルマ [= norm]
perk [pəːrk],"諸手当 [= perquisite, fringe benefit]"
annotation [ænətéɪʃən],注釈 [= footnote]
backlog [bǽklɔ̀(ː)g],未処理の山 [= accumulation]
collation [koʊléɪʃən],照合作業，（書物の）ページ合わせ
counterfeit [káʊntərfìt],偽造通貨，模造品 [= imitation]
forgery [fɔ́ːrdʒəri],偽造（罪），偽造品
asylum [əsáɪləm],（政治犯の）亡命に対する庇護，避難所 [= shelter]
haven [héɪvən],"避難所，停泊所 [= refuge, shelter]"
hub [hʌb],中心 [= center]，商業や輸送の中心 [= focus of commerce or transportation]
venue [vénjuː],開催地，（犯行などの）現場
vicinity [vəsɪ́nəti],近所 [= neighborhood]
validity [vəlɪ́dəti],効力 [= effectiveness]，正当性 [= lawfulness]
efficacy [éfɪkəsi],効力，有効性 [= effectiveness]
longevity [lɑ(ː)ndʒévəti],長寿，長命 [= long life]
mortality [mɔːrtǽləti],死亡率，死ぬ運命（⇔immortality 不死）
demise [dɪmáɪz],"死去 [= decease, death]，終焉 [= end, termination]"
immunity [ɪmjúːnəti],（〜の）免疫 [= resistance]〈to〉
remedy [rémədi],（〜の）治療（薬），治療法 [= cure]〈for〉
transfusion [trænsfjúːʒən],輸血 [= blood transfusion]
bout [baʊt],発作 [= attack]，短い期間 [= spell]
quarantine [kwɔ́(ː)rəntìːn],隔離（期間），検疫
contingency [kəntɪ́ndʒənsi],"不慮の出来事 [= accident, contingent]，偶然 [= chance]，不確実 [= uncertainty]"
concussion [kənkʌ́ʃən],脳震盪
